OBJECTID_1,State,CIS_Name,Name_Short,ST_Fips,CID,COUNTY_CIS
190,Maine,"E, Township Of",E Twp,23,230586,Franklin County
191,Maine,"T09 R18 Wels, Township Of",T9 R18 WELS,23,230877,Somerset County
192,Maine,"T09 R17 Wels, Township Of",T9 R17 WELS,23,230876,Somerset County
193,Maine,"T09 R16 Wels, Township Of",T9 R16 WELS,23,230875,Somerset County
194,Maine,"T09 R14 Wels, Township Of",T9 R14 WELS,23,230683,Piscataquis County
195,Maine,"T09 R13 Wels, Township Of",T9 R13 WELS,23,230682,Piscataquis County
196,Maine,"T09 R08 Wels, Township Of",T9 R8 WELS,23,230782,Aroostook County
197,Maine,"T09 R09 Wels, Township Of",T9 R9 WELS,23,230678,Piscataquis County
198,Maine,"T09 R11 Wels, Township Of",T9 R11 WELS,23,230680,Piscataquis County
199,Maine,"T09 R03 Wels, Township Of",T9 R3 WELS,23,230778,Aroostook County
200,Maine,"T09 R04 Wels (Griswold), Township Of",T9 R4 WELS,23,230779,Aroostook County
201,Maine,"T09 R07 Wels, Township Of",T9 R7 WELS,23,230781,Aroostook County
202,Maine,"T09 R05 Wels, Township Of",T9 R5 WELS,23,230780,Aroostook County
203,Maine,"Td R02 Wels, Township Of",TD R2 WELS,23,230523,Aroostook County
204,Maine,"T08 R18 Wels, Township Of",T8 R18 WELS,23,230565,Somerset County
205,Maine,"T04 R03 Wels, Township Of",T4 R3 WELS,23,230776,Aroostook County
206,Maine,"Nesourdnahunk T5 R10 Wels, Township Of",Nesourdnahunk Twp,23,230642,Piscataquis County
207,Maine,"T04 R10 Wels, Township Of",T4 R10 WELS,23,230656,Piscataquis County
208,Maine,"T04 R05 Nbkp, Township Of",T4 R5 NBKP,23,230755,Somerset County
209,Maine,"T03 R03 Wels, Township Of",T3 R3 WELS,23,230774,Aroostook County
210,Maine,"Northeast Carry T3 R15 Wels, Township Of",Northeast Carry Twp,23,230493,Piscataquis County
211,Maine,"T06 R13 Wels, Township Of",T6 R13 WELS,23,230666,Piscataquis County
212,Maine,"T06 R06 Wels, Township Of",T6 R6 WELS,23,230628,Penobscot County
213,Maine,"T06 R08 Wels, Township Of",T6 R8 WELS,23,230630,Penobscot County
214,Maine,"W. Middlesex Canal Grant T1 R3 Nbkp, Twp.",West Middlesex Canal Grant Twp,23,230752,Somerset County
215,Maine,"T05 R19 Wels, Township Of",T5 R19 WELS,23,230561,Somerset County
216,Maine,"T05 R18 Wels, Township Of",T5 R18 WELS,23,230560,Somerset County
217,Maine,"T05 R17 Wels, Township Of",T5 R17 WELS,23,230759,Somerset County
218,Maine,"T05 R11 Wels, Township Of",T5 R11 WELS,23,230504,Piscataquis County
219,Maine,"Russell Pond T05 R16 Wels, Township Of",Russell Pond Twp,23,230742,Somerset County
220,Maine,"T05 R09 Nwp, Township Of",T5 R9 WELS,23,230503,Piscataquis County
221,Maine,"T05 R07 Wels, Township Of",T5 R7 WELS,23,230845,Penobscot County
222,Maine,"T05 R12 Wels, Township Of",T5 R12 WELS,23,230662,Piscataquis County
223,Maine,"T05 R15 Wels, Township Of",T5 R15 WELS,23,230664,Piscataquis County
224,Maine,"T05 R14 Wels, Township Of",T5 R14 WELS,23,230663,Piscataquis County
225,Maine,"Chesuncook T5 R13 Wels, Township Of",Chesuncook Twp,23,230485,Piscataquis County
226,Maine,"Comstock T04 R18 Wels, Township Of",Comstock Twp,23,230725,Somerset County
227,Maine,"T04 R17 Wels, Township Of",T4 R17 WELS,23,230756,Somerset County
228,Maine,"Elm Stream T04 R16 Wels, Township Of",Elm Stream Twp,23,230728,Somerset County
229,Maine,"T08 R14 Wels, Township Of",T8 R14 WELS,23,230676,Piscataquis County
230,Maine,"Eagle Lake T08 R13 Wels, Township Of",Eagle Lake Twp,23,230637,Piscataquis County
231,Maine,"T08 R15 Wels, Township Of",T8 R15 WELS,23,230677,Piscataquis County
232,Maine,"T08 R16 Wels, Township Of",T8 R16 WELS,23,230764,Somerset County
233,Maine,"T08 R10 Wels, Township Of",T8 R10 WELS,23,230675,Piscataquis County
234,Maine,"T08 R09 Wels, Township Of",T8 R9 WELS,23,230674,Piscataquis County
235,Maine,"T08 R08 Wels, Township Of",T8 R8 WELS,23,230851,Penobscot County
236,Maine,"Soper Mountain T8 R12 Wels, Township Of",Soper Mountain Twp,23,230643,Piscataquis County
237,Maine,"T08 R19 Wels, Township Of",T8 R19 WELS,23,230566,Somerset County
238,Maine,"T08 R03 Wels, Township Of",T8 R3 WELS,23,230525,Aroostook County
239,Maine,"T08 R05 Wels, Township Of",T8 R5 WELS,23,230777,Aroostook County
240,Maine,"T08 R07 Wels, Township Of",T8 R7 WELS,23,230850,Penobscot County
241,Maine,"Tc R02 Wels, Township Of",TC R2 WELS,23,230771,Aroostook County
242,Maine,"T07 R15 Wels, Township Of",T7 R15 WELS,23,230509,Piscataquis County
243,Maine,"T07 R16 Wels, Township Of",T7 R16 WELS,23,230761,Somerset County
244,Maine,"T07 R17 Wels, Township Of",T7 R17 WELS,23,230564,Somerset County
245,Maine,"T07 R14 Wels, Township Of",T7 R14 WELS,23,230673,Piscataquis County
246,Maine,"T07 R12 Wels, Township Of",T7 R12 WELS,23,230507,Piscataquis County
247,Maine,"T07 R11 Wels, Township Of",T7 R11 WELS,23,230671,Piscataquis County
248,Maine,"T07 R13 Wels, Township Of",T7 R13 WELS,23,230672,Piscataquis County
249,Maine,"T07 R10 Wels, Township Of",T7 R10 WELS,23,230670,Piscataquis County
250,Maine,"T07 R09 Wels, Township Of",T7 R9 WELS,23,230669,Piscataquis County
251,Maine,"T07 R08 Wels, Township Of",T7 R8 WELS,23,230848,Penobscot County
252,Maine,"Dudley T07 R03 Wels, Township Of",Dudley Twp,23,230766,Aroostook County
253,Maine,"T07 R05 Wels, Township Of",T7 R5 WELS,23,230524,Aroostook County
254,Maine,"T07 R06 Wels, Township Of",T7 R6 WELS,23,230846,Penobscot County
255,Maine,"T06 R18 Wels, Township Of",T6 R18 WELS,23,230563,Somerset County
256,Maine,"T06 R17 Wels, Township Of",T6 R17 WELS,23,230760,Somerset County
