Country,BeverageTypes,year,alcohol_per_capita_in_litres
Chile,All types,2003,6.37
Chile,Beer,2003,1.8
Chile,Wine,2003,2.6
Chile,Spirits,2003,1.96
Denmark,All types,2003,11.54
Denmark,Beer,2003,5.47
Denmark,Wine,2003,4.47
Denmark,Spirits,2003,1.6
Germany,All types,2003,11.92
Germany,Beer,2003,6.43
Germany,Wine,2003,3.14
Germany,Spirits,2003,2.35
Ireland,All types,2003,13.24
Ireland,Beer,2003,7.31
Ireland,Wine,2003,2.29
Ireland,Spirits,2003,2.46
New Zealand,All types,2003,8.91
New Zealand,Beer,2003,4.17
New Zealand,Wine,2003,2.73
New Zealand,Spirits,2003,1.26
Switzerland,All types,2003,10.82
Switzerland,Beer,2003,3.37
Switzerland,Wine,2003,5.41
Switzerland,Spirits,2003,1.92
United Kingdom,All types,2003,11.85
United Kingdom,Beer,2003,5.16
United Kingdom,Wine,2003,3.65
United Kingdom,Spirits,2003,2.45
USA,All types,2003,8.4
USA,Beer,2003,4.58
USA,Wine,2003,1.29
USA,Spirits,2003,2.54
Australia,All types,2002,9.84
Australia,Beer,2002,4.97
Australia,Wine,2002,3.01
Australia,Spirits,2002,1.86
Austria,All types,2002,12.5
Austria,Beer,2002,6.4
Austria,Wine,2002,4.4
Austria,Spirits,2002,1.7
Belgium,All types,2002,11.29
Belgium,Beer,2002,6.09
Belgium,Wine,2002,4.26
Belgium,Spirits,2002,0.95
Brazil,All types,2002,7
Brazil,Beer,2002,3.32
Brazil,Wine,2002,0.3
Brazil,Spirits,2002,3.37
Canada,All types,2002,7.7
Canada,Beer,2002,4.2
Canada,Wine,2002,1.4
Canada,Spirits,2002,2.1
Chile,All types,2002,6.06
Chile,Beer,2002,1.76
Chile,Wine,2002,2.39
Chile,Spirits,2002,1.9
Denmark,All types,2002,11.34
Denmark,Beer,2002,5.48
Denmark,Wine,2002,4.43
Denmark,Spirits,2002,1.42
Germany,All types,2002,12.25
Germany,Beer,2002,6.67
Germany,Wine,2002,3.14
Germany,Spirits,2002,2.44
Ireland,All types,2002,14.17
Ireland,Beer,2002,7.67
Ireland,Wine,2002,2.17
Ireland,Spirits,2002,3.15
New Zealand,All types,2002,9.13
New Zealand,Beer,2002,4.24
New Zealand,Wine,2002,2.74
New Zealand,Spirits,2002,1.34
Switzerland,All types,2002,10.85
Switzerland,Beer,2002,3.26
Switzerland,Wine,2002,5.55
Switzerland,Spirits,2002,1.93
United Kingdom,All types,2002,11.44
United Kingdom,Beer,2002,5.11
United Kingdom,Wine,2002,3.4
United Kingdom,Spirits,2002,2.32
USA,All types,2002,8.33
USA,Beer,2002,4.66
USA,Wine,2002,1.25
USA,Spirits,2002,2.42
Australia,All types,2001,9.53
Australia,Beer,2001,4.08
Australia,Wine,2001,2.91
Australia,Spirits,2001,1.81
Austria,All types,2001,12.4
Austria,Beer,2001,6.6
Austria,Wine,2001,4.3
Austria,Spirits,2001,1.5
Belgium,All types,2001,11.01
Belgium,Beer,2001,6.08
Belgium,Wine,2001,3.99
Belgium,Spirits,2001,0.93
Brazil,All types,2001,7.13
Brazil,Beer,2001,3.34
Brazil,Wine,2001,0.29
Brazil,Spirits,2001,3.49
Canada,All types,2001,7.6
Canada,Beer,2001,4.2
Canada,Wine,2001,1.4
Canada,Spirits,2001,2.1
Chile,All types,2001,6.1
Chile,Beer,2001,1.78
Chile,Wine,2001,2.38
Chile,Spirits,2001,1.91
Denmark,All types,2001,11.56
Denmark,Beer,2001,5.57
Denmark,Wine,2001,4.6
Denmark,Spirits,2001,1.39
Germany,All types,2001,12.46
Germany,Beer,2001,6.71
Germany,Wine,2001,3.21
Germany,Spirits,2001,2.54
Ireland,All types,2001,14.27
Ireland,Beer,2001,7.88
Ireland,Wine,2001,1.97
Ireland,Spirits,2001,3.06
New Zealand,All types,2001,8.75
New Zealand,Beer,2001,4.18
New Zealand,Wine,2001,2.51
New Zealand,Spirits,2001,1.29
Switzerland,All types,2001,11.12
Switzerland,Beer,2001,3.38
Switzerland,Wine,2001,5.68
Switzerland,Spirits,2001,1.93
United Kingdom,All types,2001,10.91
United Kingdom,Beer,2001,5.06
United Kingdom,Wine,2001,3.22
United Kingdom,Spirits,2001,2.03
USA,All types,2001,8.25
USA,Beer,2001,4.66
USA,Wine,2001,1.17
USA,Spirits,2001,2.42
Australia,All types,2000,10.17
Australia,Beer,2000,5.07
Australia,Wine,2000,2.95
Australia,Spirits,2000,2.07
Austria,All types,2000,13.2
Austria,Beer,2000,6.8
Austria,Wine,2000,4.3
Austria,Spirits,2000,2.1
Belgium,All types,2000,11.21
Belgium,Beer,2000,6.15
Belgium,Wine,2000,4.05
Belgium,Spirits,2000,1
Brazil,All types,2000,7.26
Brazil,Beer,2000,3.33
Brazil,Wine,2000,0.31
Brazil,Spirits,2000,3.61
Canada,All types,2000,7.6
Canada,Beer,2000,4.3
Canada,Wine,2000,1.3
Canada,Spirits,2000,2.1
