cartodb_id,the_geom,id,state,state_abbr,name,trump,clinton
437,,900183430,Connecticut,CT,Weston,1632,3807
438,,900183500,Connecticut,CT,Westport,4139,10427
439,,900384900,Connecticut,CT,Wethersfield,5788,7725
440,,901385950,Connecticut,CT,Willington,1373,1374
441,,900186370,Connecticut,CT,Wilton,3783,6055
442,,900586440,Connecticut,CT,Winchester,3009,1861
443,,901586790,Connecticut,CT,Windham,2556,5375
444,,900387000,Connecticut,CT,Windsor,4013,11370
445,,900387070,Connecticut,CT,Windsor Locks,3022,2789
446,,900987560,Connecticut,CT,Wolcott,6190,2573
447,,900987700,Connecticut,CT,Woodbridge,1814,3333
448,,900587910,Connecticut,CT,Woodbury,3474,2646
449,,901588190,Connecticut,CT,Woodstock,2281,1945
450,,11001,District of Columbia,DC,Dist. of Columbia,11553,260223
451,,10001,Delaware,DE,Kent,36989,33347
452,,10003,Delaware,DE,New Castle,85507,162905
453,,10005,Delaware,DE,Sussex,62607,39329
454,,12001,Florida,FL,Alachua,46584,75370
455,,12003,Florida,FL,Baker,10294,2112
456,,12005,Florida,FL,Bay,62010,21689
457,,12007,Florida,FL,Bradford,8913,2924
458,,12009,Florida,FL,Brevard,181620,119525
459,,12011,Florida,FL,Broward,258521,546956
460,,12013,Florida,FL,Calhoun,4647,1236
461,,12015,Florida,FL,Charlotte,60196,33421
462,,12017,Florida,FL,Citrus,54377,22765
463,,12019,Florida,FL,Clay,74898,27768
464,,12021,Florida,FL,Collier,105297,60941
465,,12023,Florida,FL,Columbia,20359,7599
466,,12086,Florida,FL,Miami-Dade,333666,623006
467,,12027,Florida,FL,DeSoto,6744,3761
468,,12029,Florida,FL,Dixie,5822,1270
469,,12031,Florida,FL,Duval,210061,203627
470,,12033,Florida,FL,Escambia,88370,57114
471,,12035,Florida,FL,Flagler,33804,21985
472,,12037,Florida,FL,Franklin,4119,1738
473,,12039,Florida,FL,Gadsden,6721,14994
474,,12041,Florida,FL,Gilchrist,6740,1457
475,,12043,Florida,FL,Glades,2996,1271
476,,12045,Florida,FL,Gulf,5320,1715
477,,12047,Florida,FL,Hamilton,3439,1899
478,,12049,Florida,FL,Hardee,5238,2147
479,,12051,Florida,FL,Hendry,6192,4610
480,,12053,Florida,FL,Hernando,59029,31818
481,,12055,Florida,FL,Highlands,29509,14901
482,,12057,Florida,FL,Hillsborough,265928,306422
483,,12059,Florida,FL,Holmes,7476,852
484,,12061,Florida,FL,Indian River,48564,28997
485,,12063,Florida,FL,Jackson,14231,6383
486,,12065,Florida,FL,Jefferson,3930,3537
487,,12067,Florida,FL,Lafayette,2795,515
488,,12069,Florida,FL,Lake,101888,62597
489,,12071,Florida,FL,Lee,191141,124725
490,,12073,Florida,FL,Leon,53777,91936
491,,12075,Florida,FL,Levy,13758,5091
492,,12077,Florida,FL,Liberty,2542,651
493,,12079,Florida,FL,Madison,4849,3526
494,,12081,Florida,FL,Manatee,101681,71066
495,,12083,Florida,FL,Marion,107710,61958
496,,12085,Florida,FL,Martin,53182,30158
497,,12087,Florida,FL,Monroe,21885,18949
498,,12089,Florida,FL,Nassau,34221,10849
499,,12091,Florida,FL,Okaloosa,71788,23711
500,,12093,Florida,FL,Okeechobee,9342,3953
501,,12095,Florida,FL,Orange,195091,329579
502,,12097,Florida,FL,Osceola,50252,85287
503,,12099,Florida,FL,Palm Beach,270762,371411
504,,12101,Florida,FL,Pasco,141943,89998
505,,12103,Florida,FL,Pinellas,238746,233327
506,,12105,Florida,FL,Polk,157216,117182
507,,12107,Florida,FL,Putnam,21873,9920
508,,12109,Florida,FL,St. Johns,88633,43037
509,,12111,Florida,FL,St. Lucie,70248,66812
510,,12113,Florida,FL,Santa Rosa,65126,18398
511,,12115,Florida,FL,Sarasota,124098,97676
512,,12117,Florida,FL,Seminole,109265,105611
513,,12119,Florida,FL,Sumter,52722,22631
514,,12121,Florida,FL,Suwannee,14281,3955
515,,12123,Florida,FL,Taylor,6923,2149
516,,12125,Florida,FL,Union,4567,1014
517,,12127,Florida,FL,Volusia,142763,108793
518,,12129,Florida,FL,Wakulla,10507,4348
519,,12131,Florida,FL,Walton,25695,6861
520,,12133,Florida,FL,Washington,8630,2261
521,,13001,Georgia,GA,Appling,5492,1434
522,,13003,Georgia,GA,Atkinson,1873,696
523,,13005,Georgia,GA,Bacon,3356,607
524,,13007,Georgia,GA,Baker,775,650
525,,13009,Georgia,GA,Baldwin,7691,7965
526,,13011,Georgia,GA,Banks,6130,684
527,,13013,Georgia,GA,Barrow,21105,6580
528,,13015,Georgia,GA,Bartow,29879,8204
529,,13017,Georgia,GA,Ben Hill,3734,2098
530,,13019,Georgia,GA,Berrien,5408,1041
531,,13021,Georgia,GA,Bibb,22589,34383
532,,13023,Georgia,GA,Bleckley,3717,1094
533,,13025,Georgia,GA,Brantley,5561,619
534,,13027,Georgia,GA,Brooks,3679,2504
535,,13029,Georgia,GA,Bryan,10513,4010
536,,13031,Georgia,GA,Bulloch,14476,8812
537,,13033,Georgia,GA,Burke,4491,4730
538,,13035,Georgia,GA,Butts,6717,2566
