location,lat,long,score
"Waffle House-Tallahassee,FL",30.48631,-84.315209,8
"Waffle House-Tallahassee,FL",30.506944,-84.25003,10
"Waffle House-Tallahassee,FL",30.428118,-84.216177,6
"Waffle House-Tallahassee,FL",30.426656,-84.352863,10
"Waffle House-Tampa,FL",27.949235,-82.52417,1
"Waffle House-Tampa,FL",28.004786,-82.356121,2
"Waffle House-Tampa,FL",28.054516,-82.44966,4
"Waffle House-Tarpon Springs,FL",28.136316,-82.740314,2
"Waffle House-Titusville,FL",28.552653,-80.848932,2
"Waffle House-Treasure Island,FL",27.771988,-82.77204,8
"Waffle House-Wesley Chapel,FL",28.235381,-82.352109,5
"Waffle House-Wildwood,FL",28.87239,-82.089636,5
"Waffle House-Acworth,GA",34.081955,-84.65465,7
"Waffle House-Acworth,GA",34.000414,-84.704073,8
"Waffle House-Acworth,GA",34.034899,-84.679145,10
"Waffle House-Acworth,GA",34.076174,-84.652734,9
"Waffle House-Acworth,GA",34.078471,-84.676401,6
"Waffle House-Acworth,GA",34.087328,-84.576863,10
"Waffle House-Adairsville,GA",34.376978,-84.91667,5
"Waffle House-Adel,GA",31.134507,-83.435808,9
"Waffle House-Albany,GA",31.5925732,-84.2029572,9
"Waffle House-Albany,GA",31.570771,-84.107076,7
"Waffle House-Albany,GA",31.616962,-84.222709,8
"Waffle House-Alpharetta,GA",34.08535,-84.359189,7
"Waffle House-Alpharetta,GA",34.110778,-84.220001,9
"Waffle House-Alpharetta,GA",33.99162,-84.278344,6
"Waffle House-Alpharetta,GA",34.037521,-84.296644,6
"Waffle House-Alpharetta,GA",34.068702,-84.267842,9
"Waffle House-Alpharetta,GA",34.06622,-84.310374,7
"Waffle House-Americus,GA",32.060998,-84.204571,8
"Waffle House-Ashburn,GA",31.710728,-83.640108,9
"Waffle House-Athens,GA",33.938868,-83.386409,6
"Waffle House-Athens,GA",33.947986,-83.358392,5
"Waffle House-Athens,GA",33.957967,-83.377706,5
"Waffle House-Athens,GA",33.951736,-83.408995,6
"Waffle House-Athens,GA",33.926353,-83.339821,6
"Waffle House-Athens,GA",33.924341,-83.378542,6
"Waffle House-Athens,GA",33.986437,-83.345708,5
"Waffle House-Athens,GA",33.889109,-83.413506,5
"Waffle House-Atlanta,GA",33.751405,-84.38542,10
"Waffle House-Atlanta,GA",33.759637,-84.383687,5
"Waffle House-Atlanta,GA",33.800664,-84.415887,7
"Waffle House-Atlanta,GA",33.800988,-84.407818,5
"Waffle House-Atlanta,GA",33.8108231,-84.4761689,5
"Waffle House-Atlanta,GA",33.817129,-84.352118,8
"Waffle House-Atlanta,GA",33.825317,-84.367173,10
"Waffle House-Atlanta,GA",33.885694,-84.471602,9
"Waffle House-Atlanta,GA",33.830791,-84.343467,6
"Waffle House-Atlanta,GA",33.879563,-84.273821,10
"Waffle House-Atlanta,GA",33.841544,-84.313724,8
"Waffle House-Atlanta,GA",33.747086,-84.290902,8
"Waffle House-Atlanta,GA",33.837177,-84.368132,10
"Waffle House-Atlanta,GA",33.857576,-84.381631,6
"Waffle House-Atlanta,GA",33.65292,-84.393399,5
"Waffle House-Atlanta,GA",33.861051,-84.339505,9
"Waffle House-Atlanta,GA",33.619366,-84.538027,7
"Waffle House-Atlanta,GA",33.923558,-84.314635,5
"Waffle House-Atlanta,GA",33.900984,-84.379639,7
"Waffle House-Atlanta,GA",33.905488,-84.431248,6
"Waffle House-Atlanta,GA",33.728791,-84.572248,5
"Waffle House-Atlanta,GA",33.776193,-84.385171,8
"Waffle House-Atlanta,GA",33.753102,-84.391171,9
"Waffle House-Atlanta,GA",33.7356606,-84.3878784,9
"Waffle House-Auburn,GA",34.010463,-83.842151,7
"Waffle House-Augusta,GA",33.482328,-82.08787,10
"Waffle House-Augusta,GA",33.439137,-82.016901,10
"Waffle House-Augusta,GA",33.451575,-82.063128,5
"Waffle House-Augusta,GA",33.521815,-82.024801,8
"Waffle House-Augusta,GA",33.511716,-82.040327,5
"Waffle House-Augusta,GA",33.512925,-82.049201,5
"Waffle House-Augusta,GA",33.409854,-82.026797,6
"Waffle House-Augusta,GA",33.421945,-82.06244,8
"Waffle House-Augusta,GA",33.39902,-82.005625,7
"Waffle House-Augusta,GA",33.468069,-82.076729,10
"Waffle House-Augusta,GA",33.478768,-82.129501,9
"Waffle House-Augusta,GA",33.485424,-82.133008,5
"Waffle House-Austell,GA",33.7771,-84.559959,7
"Waffle House-Barnesville,GA",33.0526199,-84.1395035,7
"Waffle House-Blairsville,GA",34.880318,-83.954796,7
"Waffle House-Blue Ridge,GA",34.83678,-84.340959,8
"Waffle House-Bogart,GA",33.941898,-83.500986,6
"Waffle House-Braselton,GA",34.11763,-83.762279,7
"Waffle House-Bremen,GA",33.690697,-85.149801,5
"Waffle House-Brunswick,GA",31.245275,-81.505709,8
"Waffle House-Brunswick,GA",31.139634,-81.581456,5
"Waffle House-Brunswick,GA",31.1935068,-81.4857955,7
"Waffle House-Brunswick,GA",31.2182763,-81.5197436,10
"Waffle House-Brunswick,GA",31.224271,-81.526011,7
"Waffle House-Buford,GA",34.097656,-84.01165,6
"Waffle House-Buford,GA",34.0519255,-83.9943241,8
"Waffle House-Buford,GA",34.068294,-83.986212,8
"Waffle House-Buford,GA",34.094551,-83.936287,10
"Waffle House-Buford,GA",34.091881,-84.00057,10
"Waffle House-Buford,GA",34.141556,-83.952317,7
"Waffle House-Byron,GA",32.614249,-83.739795,8
"Waffle House-Byron,GA",32.657138,-83.748269,6
"Waffle House-Byron,GA",32.660492,-83.74291,6
"Waffle House-Calhoun,GA",34.5123596,-84.9173813,8
"Waffle House-Calhoun,GA",34.4800202,-84.9406873,7
"Waffle House-Canton,GA",34.258888,-84.463592,5
"Waffle House-Canton,GA",34.222003,-84.504776,7
"Waffle House-Canton,GA",34.227437,-84.509544,10
"Waffle House-Canton,GA",34.176111,-84.419136,7
"Waffle House-Canton,GA",34.254122,-84.35955,8
"Waffle House-Carrollton,GA",33.598774,-85.079059,9
"Waffle House-Carrollton,GA",33.57164,-85.091016,10
"Waffle House-Carrollton,GA",33.596755,-85.035451,7
"Waffle House-Carrollton,GA",33.567055,-85.077643,6
"Waffle House-Cartersville,GA",34.17213,-84.828802,10
"Waffle House-Cartersville,GA",34.207527,-84.821219,7
"Waffle House-Cartersville,GA",34.176844,-84.786368,7
"Waffle House-Cartersville,GA",34.204982,-84.764337,5
"Waffle House-Cartersville,GA",34.157548,-84.815942,5
